date,value,classification
2023-09-29,54,Neutral
2023-09-30,72,Greed
2023-10-01,65,Greed
2023-10-02,58,Greed
2023-10-03,69,Greed
2023-10-04,67,Greed
2023-10-05,62,Greed
2023-10-06,67,Greed
2023-10-07,64,Greed
2023-10-08,68,Greed
2023-10-09,72,Greed
2023-10-10,79,Extreme Greed
2023-10-11,59,Greed
2023-10-12,83,Extreme Greed
2023-10-13,55,Greed
2023-10-14,68,Greed
2023-10-15,73,Greed
2023-10-16,72,Greed
2023-10-17,66,Greed
2023-10-18,69,Greed
2023-10-19,67,Greed
2023-10-20,67,Greed
2023-10-21,77,Extreme Greed
2023-10-22,74,Greed
2023-10-23,67,Greed
2023-10-24,79,Extreme Greed
2023-10-25,75,Extreme Greed
2023-10-26,79,Extreme Greed
2023-10-27,78,Extreme Greed
2023-10-28,68,Greed
2023-10-29,70,Greed
2023-10-30,79,Extreme Greed
2023-10-31,79,Extreme Greed
2023-11-01,74,Greed
2023-11-02,75,Extreme Greed
2023-11-03,82,Extreme Greed
2023-11-04,69,Greed
2023-11-05,76,Extreme Greed
2023-11-06,70,Greed
2023-11-07,69,Greed
2023-11-08,78,Extreme Greed
2023-11-09,76,Extreme Greed
2023-11-10,75,Extreme Greed
2023-11-11,78,Extreme Greed
2023-11-12,68,Greed
2023-11-13,72,Greed
2023-11-14,65,Greed
2023-11-15,69,Greed
2023-11-16,65,Greed
2023-11-17,66,Greed
2023-11-18,69,Greed
2023-11-19,58,Greed
2023-11-20,78,Extreme Greed
2023-11-21,56,Greed
2023-11-22,54,Neutral
2023-11-23,70,Greed
2023-11-24,67,Greed
2023-11-25,65,Greed
2023-11-26,64,Greed
2023-11-27,59,Greed
2023-11-28,52,Neutral
2023-11-29,59,Greed
2023-11-30,53,Neutral
2023-12-01,64,Greed
2023-12-02,55,Greed
2023-12-03,50,Neutral
2023-12-04,53,Neutral
2023-12-05,58,Greed
2023-12-06,50,Neutral
2023-12-07,48,Neutral
2023-12-08,55,Greed
2023-12-09,54,Neutral
2023-12-10,48,Neutral
2023-12-11,48,Neutral
2023-12-12,52,Neutral
2023-12-13,40,Fear
2023-12-14,40,Fear
2023-12-15,44,Fear
2023-12-16,47,Neutral
2023-12-17,50,Neutral
2023-12-18,57,Greed
2023-12-19,53,Neutral
2023-12-20,45,Neutral
2023-12-21,45,Neutral
2023-12-22,38,Fear
2023-12-23,44,Fear
2023-12-24,42,Fear
2023-12-25,45,Neutral
2023-12-26,37,Fear
2023-12-27,45,Neutral
2023-12-28,52,Neutral
2023-12-29,40,Fear
2023-12-30,43,Fear
2023-12-31,44,Fear
